current_symbol,primary_FBid,sequence_loc
bap,FBgn0004862,3R:21388880..21390449(1)
Ugt49B2,FBgn0038886,3R:21397781..21399742(-1)
Fancm,FBgn0038889,3R:21482325..21487444(1)
C15,FBgn0004863,3R:21499986..21512814(1)
sp3,FBgn0038890,3R:21520928..21528598(1)
InR,FBgn0283499,3R:21570248..21619321(-1)
E2f1,FBgn0011766,3R:21620304..21660871(-1)
lncRNA:CR46056,FBgn0267723,3R:21638652..21639088(1)
Archease,FBgn0289108,3R:21661186..21662972(-1)
PolA1,FBgn0259113,3R:21666562..21671750(-1)
GABA-B-R2,FBgn0027575,3R:21770333..21775840(-1)
Polr1H,FBgn0038903,3R:21777203..21777847(-1)
tsl,FBgn0003867,3R:21778114..21782536(-1)
CASK,FBgn0013759,3R:21783400..21822674(-1)
glec,FBgn0015229,3R:21850694..21856266(-1)
lsn,FBgn0260940,3R:21865168..21866238(1)
CG31431,FBgn0051431,3R:21870681..21873640(1)
CG34148,FBgn0083984,3R:21877870..21878686(-1)
Idh3b,FBgn0038922,3R:22016391..22019382(-1)
Mitofilin,FBgn0019960,3R:22019505..22023335(-1)
mRpL35,FBgn0038923,3R:22023527..22024341(1)
CG6028,FBgn0038924,3R:22024259..22025506(-1)
Cchl,FBgn0038925,3R:22025975..22027480(-1)
ND-42,FBgn0019957,3R:22027709..22029393(1)
pit,FBgn0266581,3R:22034298..22038925(1)
Fadd,FBgn0038928,3R:22034455..22035617(1)
how,FBgn0264491,3R:22042191..22079321(1)
SKIP,FBgn0051163,3R:22133830..22296126(1)
Gld2,FBgn0038934,3R:22211824..22217415(1)
Sar1,FBgn0038947,3R:22356685..22360711(1)
JMJD6,FBgn0038948,3R:22360782..22362371(-1)
CG5382,FBgn0038950,3R:22364573..22365983(-1)
Polr3F,FBgn0038951,3R:22366080..22367373(-1)
Pyk,FBgn0267385,3R:22367536..22372746(1)
CG18596,FBgn0038953,3R:22375923..22379955(1)
CG34149,FBgn0083985,3R:22380128..22381253(1)
CG43342,FBgn0263047,3R:22381340..22382147(1)
Gpdh3,FBgn0263048,3R:22382035..22386548(1)
CG13850,FBgn0038961,3R:22408566..22410915(-1)
lqfR,FBgn0261279,3R:22411301..22419051(1)
Nop56,FBgn0038964,3R:22419095..22421068(-1)
mats,FBgn0038965,3R:22421161..22423302(1)
CG12499,FBgn0038968,3R:22440152..22446587(-1)
CG34376,FBgn0085405,3R:22448099..22460749(1)
Rpn7,FBgn0028688,3R:22460662..22462054(-1)
AP-2mu,FBgn0263351,3R:22462455..22464603(1)
CG7054,FBgn0038972,3R:22464985..22465938(1)
CG5377,FBgn0038974,3R:22466905..22468157(-1)
Pfdn5,FBgn0038976,3R:22487039..22488110(1)
CCT1,FBgn0003676,3R:22489105..22491439(-1)
CG5346,FBgn0038981,3R:22520087..22528663(-1)
CG33099,FBgn0053099,3R:22528920..22530572(-1)
AdipoR,FBgn0038984,3R:22543693..22547846(-1)
CSN6,FBgn0028837,3R:22580773..22582033(1)
Dph5,FBgn0024558,3R:22582028..22583225(-1)
CG33107,FBgn0053107,3R:22583352..22584718(-1)
CG6937,FBgn0038989,3R:22584773..22586209(1)
Efa6,FBgn0051158,3R:22587755..22608842(1)
CG31156,FBgn0051156,3R:22608670..22613656(-1)
mRRF2,FBgn0051159,3R:22613686..22616622(1)
mRpL45,FBgn0263863,3R:22618492..22619826(1)
loco,FBgn0020278,3R:22619968..22639387(-1)
wake,FBgn0266418,3R:22639808..22683827(1)
Gclm,FBgn0046114,3R:22685006..22686510(-1)
wfs1,FBgn0039003,3R:22687542..22690380(-1)
Nup133,FBgn0039004,3R:22690607..22694772(1)
Cyp6d4,FBgn0039006,3R:22698319..22700307(1)
wge,FBgn0051151,3R:22710883..22721150(-1)
Irp-1A,FBgn0024958,3R:22721320..22724587(-1)
RNF220,FBgn0039013,3R:22724884..22726414(-1)
CG45049,FBgn0266409,3R:22726967..22732362(1)
Dcr-1,FBgn0039016,3R:22734007..22741091(-1)
CG6985,FBgn0039017,3R:22741150..22743081(1)
vret,FBgn0263143,3R:22742954..22745581(-1)
HP1c,FBgn0039019,3R:22745620..22746605(1)
CG17141,FBgn0039020,3R:22746446..22747599(-1)
rumi,FBgn0086253,3R:22749014..22750597(-1)
CG7029,FBgn0039026,3R:22750901..22794030(1)
Usp12-46,FBgn0039025,3R:22750901..22776374(1)
klg,FBgn0017590,3R:22899284..22961731(1)
p53,FBgn0039044,3R:23049657..23054082(-1)
sav,FBgn0053193,3R:23058609..23061304(-1)
Ublcp1,FBgn0027526,3R:23061493..23062751(1)
Rassf,FBgn0039055,3R:23114014..23117931(-1)
CenB1A,FBgn0039056,3R:23118400..23124217(1)
CG31365,FBgn0051365,3R:23123962..23126422(-1)
CG31457,FBgn0051457,3R:23126581..23127981(-1)
hh,FBgn0004644,3R:23128169..23141906(-1)
unk,FBgn0004395,3R:23149653..23157862(-1)
cnc,FBgn0262975,3R:23185580..23226711(-1)
Rad60,FBgn0039065,3R:23249443..23251477(-1)
EloA,FBgn0039066,3R:23251563..23255071(1)
wda,FBgn0039067,3R:23255070..23258087(-1)
Pex11c,FBgn0039068,3R:23258365..23260602(1)
orb,FBgn0004882,3R:23260610..23280856(-1)
Cdc16,FBgn0025781,3R:23281201..23284123(1)
CG6763,FBgn0039069,3R:23284002..23286041(1)
pnt,FBgn0003118,3R:23290231..23346167(-1)
PolE1,FBgn0264326,3R:23348128..23355163(1)
ATPsynCF6,FBgn0016119,3R:23355220..23356064(-1)
Sec13,FBgn0024509,3R:23356278..23358531(1)
RpS3,FBgn0002622,3R:23358812..23360207(1)
CG4408,FBgn0039073,3R:23361889..23363574(-1)
CG10184,FBgn0039094,3R:23602507..23605495(-1)
CG31145,FBgn0051145,3R:23605751..23669659(-1)
GILT3,FBgn0039098,3R:23677358..23678421(1)
GILT2,FBgn0039099,3R:23678895..23679855(1)
eIF3d1,FBgn0040227,3R:23680039..23682317(1)
CG10254,FBgn0027512,3R:23689007..23694983(-1)
asRNA:CR43903,FBgn0264504,3R:23694006..23694688(1)
CG10365,FBgn0039109,3R:23723331..23731499(1)
RNaseMRP:RNA,FBgn0065098,3R:23730048..23730429(-1)
Rpn9,FBgn0028691,3R:23731375..23733462(-1)
Hmgcr,FBgn0263782,3R:23733324..23750992(1)
RanBP3,FBgn0039110,3R:23750937..23752834(-1)
Rpt5,FBgn0028684,3R:23752876..23754623(1)
Hrd3,FBgn0028475,3R:23754623..23758557(-1)
PTPMT1,FBgn0039111,3R:23758339..23759606(1)
SdhD,FBgn0039112,3R:23759483..23760600(-1)
udt,FBgn0039113,3R:23760737..23763263(-1)
Lsd-1,FBgn0039114,3R:23763857..23766662(1)
CG10214,FBgn0039115,3R:23766519..23767488(-1)
CG10375,FBgn0039116,3R:23767712..23768984(1)
tst,FBgn0039117,3R:23768399..23772859(-1)
CG10208,FBgn0039118,3R:23772998..23774127(-1)
Nup98-96,FBgn0039120,3R:23774225..23781621(-1)
mbc,FBgn0015513,3R:23781765..23801634(1)
CG33111,FBgn0053111,3R:23801714..23819237(-1)
eIF4G2,FBgn0260634,3R:23808285..23819237(-1)
Pli,FBgn0025574,3R:23860162..23890052(-1)
TfIIA-S,FBgn0013347,3R:23890388..23891060(-1)
sba,FBgn0016754,3R:23894174..23922973(-1)
Ndc1,FBgn0039125,3R:23924399..23926436(1)
CG13601,FBgn0039126,3R:23926372..23927634(-1)
CG31142,FBgn0047114,3R:23929243..23929988(1)
Rpt2,FBgn0015282,3R:23929873..23931558(-1)
CG13599,FBgn0039128,3R:23931639..23932728(1)
CG5854,FBgn0039130,3R:23933912..23935964(1)
Gdh,FBgn0001098,3R:23935958..23943101(-1)
GluProRS,FBgn0005674,3R:23952136..23958391(-1)
AP-1sigma,FBgn0039132,3R:23958651..23962555(1)
lncRNA:mimi,FBgn0051451,3R:23983503..23985065(1)
CG13603,FBgn0039135,3R:23985213..23986569(-1)
CG5902,FBgn0039136,3R:23986642..23988738(1)
Epp,FBgn0039137,3R:23988806..23992916(-1)
Rab7,FBgn0015795,3R:23993008..23995452(1)
LSm3,FBgn0051184,3R:23996262..23997017(1)
KrT95D,FBgn0020647,3R:23997538..24031827(-1)
Mettl3,FBgn0039139,3R:24032157..24034257(1)
Miro,FBgn0039140,3R:24034362..24038847(-1)
spas,FBgn0039141,3R:24038215..24042982(1)
Rox8,FBgn0005649,3R:24043056..24048265(-1)
CG5986,FBgn0043455,3R:24047790..24049168(1)
Atg6,FBgn0264325,3R:24049180..24050782(-1)
Pisd,FBgn0026576,3R:24050783..24053592(1)
SMC1,FBgn0040283,3R:24058287..24062815(1)
eIF4EHP,FBgn0053100,3R:24063077..24108960(-1)
Syx1A,FBgn0013343,3R:24101600..24105763(-1)
CG18428,FBgn0039149,3R:24109336..24110010(1)
CG13605,FBgn0039150,3R:24109944..24112389(-1)
GatB,FBgn0039153,3R:24128049..24130255(-1)
Tsc1,FBgn0026317,3R:24130307..24134654(1)
Sec10,FBgn0266673,3R:24134831..24137538(1)
Slimp,FBgn0051133,3R:24147436..24148967(-1)
p38a,FBgn0015765,3R:24150416..24152321(-1)
CG6178,FBgn0039156,3R:24152347..24154896(1)
Myo95E,FBgn0039157,3R:24154826..24161498(-1)
TBC1d7,FBgn0039158,3R:24161727..24163215(1)
mRpS24,FBgn0039159,3R:24162829..24163545(-1)
Apc2,FBgn0026598,3R:24163966..24168264(1)
CG5510,FBgn0039160,3R:24167675..24169562(-1)
mora,FBgn0029503,3R:24186359..24187785(1)
CG5515,FBgn0039163,3R:24187724..24188896(-1)
SMC6,FBgn0266282,3R:24189050..24193423(-1)
CG6204,FBgn0039165,3R:24193832..24196880(1)
twin,FBgn0011725,3R:24196893..24221965(-1)
CG17786,FBgn0039167,3R:24214631..24218718(-1)
cav,FBgn0026257,3R:24221103..24223528(1)
Spps,FBgn0039169,3R:24223445..24226934(-1)
CG13609,FBgn0039170,3R:24227023..24228538(1)
Spase22-23,FBgn0039172,3R:24228342..24230035(-1)
mask,FBgn0043884,3R:24230562..24250248(1)
beta-PheRS,FBgn0039175,3R:24250460..24252679(-1)
jar,FBgn0011225,3R:24252826..24271233(-1)
Orct2,FBgn0086365,3R:24273029..24275728(1)
Uck,FBgn0263398,3R:24290172..24293371(1)
crb,FBgn0259685,3R:24295078..24314541(1)
Nab2,FBgn0028471,3R:24314660..24318419(-1)
BRWD3,FBgn0011785,3R:24319000..24328619(1)
Rrp5,FBgn0039182,3R:24328455..24333316(-1)
Dis3,FBgn0039183,3R:24333433..24337248(1)
CG5746,FBgn0039186,3R:24343895..24348791(-1)
CG6454,FBgn0039187,3R:24349182..24356241(1)
Golgin84,FBgn0039188,3R:24356070..24357938(-1)
CG18528,FBgn0039189,3R:24358095..24360144(-1)
nAChRbeta2,FBgn0004118,3R:24509228..24515106(-1)
Pp1alpha-96A,FBgn0003134,3R:24518270..24522331(1)
CG6607,FBgn0039204,3R:24528047..24529815(1)
CG13623,FBgn0039205,3R:24529773..24530558(-1)
ana1,FBgn0262167,3R:24530576..24536395(1)
Cftr,FBgn0039207,3R:24536204..24543914(-1)
REPTOR,FBgn0039209,3R:24557368..24582864(-1)
CG13625,FBgn0039210,3R:24583067..24585160(-1)
mld,FBgn0263490,3R:24585653..24623899(1)
Syx18,FBgn0039212,3R:24623802..24625562(-1)
atl,FBgn0039213,3R:24625671..24634714(1)
Wsck,FBgn0046685,3R:24627066..24630075(-1)
puf,FBgn0039214,3R:24635270..24650043(-1)
ash2,FBgn0000139,3R:24650125..24653376(1)
CG31125,FBgn0051125,3R:24653371..24654820(-1)
CG6695,FBgn0039215,3R:24655160..24659379(1)
CG31126,FBgn0051126,3R:24659621..24660265(1)
Ppox,FBgn0020018,3R:24660197..24661851(-1)
Polr2L,FBgn0039218,3R:24717511..24717998(1)
CG13630,FBgn0039219,3R:24717937..24719364(-1)
tok,FBgn0004885,3R:24719697..24749125(1)
tld,FBgn0003719,3R:24749731..24753510(1)
asp,FBgn0000140,3R:24753849..24760513(1)
CG13631,FBgn0040600,3R:24769351..24770933(1)
CG5805,FBgn0039223,3R:24784552..24787421(-1)
polybromo,FBgn0039227,3R:24799967..24805259(-1)
lili,FBgn0027539,3R:24805445..24814012(-1)
CG34150,FBgn0083986,3R:24814262..24814930(1)
CG5808,FBgn0027617,3R:24814903..24817007(-1)
Saf-B,FBgn0039229,3R:24817464..24822350(1)
RabX4,FBgn0051118,3R:24826665..24828409(-1)
Kaz,FBgn0051357,3R:24828279..24829959(-1)
CG43273,FBgn0262962,3R:24830301..24830973(1)
Esp,FBgn0013953,3R:24841935..24850412(1)
CG7006,FBgn0039233,3R:24850627..24851385(1)
Nct,FBgn0039234,3R:24851601..24854869(1)
HDAC11,FBgn0051119,3R:24854496..24856243(-1)
CycB3,FBgn0015625,3R:24867934..24870816(-1)
CG3744,FBgn0039240,3R:24871202..24876654(-1)
CG11089,FBgn0039241,3R:24877045..24881478(1)
CG31381,FBgn0043799,3R:24877045..24878827(1)
PIG-S,FBgn0265190,3R:24913216..24917864(-1)
sud1,FBgn0265189,3R:24915840..24917864(-1)
CG11168,FBgn0039249,3R:24918106..24922385(1)
Mink,FBgn0039250,3R:24922473..24925160(1)
asRNA:CR46097,FBgn0267766,3R:24924416..24925344(-1)
Trf4-2,FBgn0039251,3R:24925216..24927085(1)
CG11771,FBgn0039252,3R:24932010..24934919(1)
Osbp,FBgn0020626,3R:24934869..24938222(-1)
ssh,FBgn0029157,3R:24938710..24944956(-1)
Nmnat,FBgn0039254,3R:24945237..24947400(1)
beta4GalT7,FBgn0039258,3R:25023256..25024482(1)
EMC6,FBgn0039259,3R:25024473..25025017(-1)
Hr96,FBgn0015240,3R:25025235..25029351(1)
Smg6,FBgn0039260,3R:25029429..25033465(-1)
Ythdf,FBgn0039261,3R:25033876..25039249(-1)
bai,FBgn0045866,3R:25039374..25040443(1)
5PtaseI,FBgn0259178,3R:25040427..25045151(-1)
CG11790,FBgn0039265,3R:25047706..25049455(1)
CG11791,FBgn0039266,3R:25049616..25053074(1)
CG31109,FBgn0051109,3R:25053369..25054653(-1)
CG31111,FBgn0051111,3R:25055076..25056177(-1)
stac,FBgn0266719,3R:25056286..25064348(1)
veli,FBgn0039269,3R:25064418..25065591(-1)
PQBP1,FBgn0039270,3R:25065791..25066718(1)
Stt3B,FBgn0011336,3R:25066712..25069637(-1)
CG11839,FBgn0039271,3R:25069927..25070914(1)
CG11836,FBgn0039272,3R:25071126..25072712(1)
shams,FBgn0039273,3R:25072729..25074607(-1)
CG11920,FBgn0039274,3R:25074877..25076382(1)
fd96Cb,FBgn0004898,3R:25095012..25096099(1)
CG33096,FBgn0053096,3R:25097672..25102146(1)
TTLL5,FBgn0051108,3R:25112867..25122920(-1)
CG31510,FBgn0051510,3R:25117218..25122920(-1)
vig2,FBgn0046214,3R:25123373..25125619(1)
Clbn,FBgn0259152,3R:25127502..25131155(1)
Bili,FBgn0039282,3R:25131306..25136709(1)
danr,FBgn0039283,3R:25138072..25139903(1)
lobo,FBgn0083946,3R:25169565..25193776(-1)
dan,FBgn0039286,3R:25184383..25192806(1)
CG13653,FBgn0039288,3R:25195527..25196531(1)
Saysd1,FBgn0039291,3R:25214325..25215188(-1)
Alg9,FBgn0039293,3R:25221589..25224118(1)
Sil1,FBgn0039296,3R:25233636..25235529(-1)
bam,FBgn0000158,3R:25243039..25245109(-1)
RpS27,FBgn0039300,3R:25245955..25247514(-1)
sisRNA:CR46364,FBgn0286042,3R:25246874..25247422(-1)
Nup37,FBgn0039301,3R:25247658..25249100(1)
Nup358,FBgn0039302,3R:25249348..25258672(1)
CG11857,FBgn0039303,3R:25258898..25260759(1)
Kdsr,FBgn0039304,3R:25260963..25262498(-1)
CG11858,FBgn0039305,3R:25262741..25263292(1)
GlnRS,FBgn0027090,3R:25263267..25265721(-1)
RIOK2,FBgn0039306,3R:25265844..25267757(1)
CG31098,FBgn0051098,3R:25291370..25292977(-1)
CG31288,FBgn0051288,3R:25297960..25299557(-1)
CG10669,FBgn0039329,3R:25331363..25335243(-1)
CG11902,FBgn0028647,3R:25335257..25340088(1)
Fur1,FBgn0004509,3R:25347431..25473058(-1)
Vps33B,FBgn0039335,3R:25473490..25475756(1)
CG4553,FBgn0039336,3R:25475636..25476915(-1)
MED28,FBgn0039337,3R:25477003..25477745(1)
XNP,FBgn0039338,3R:25477868..25482834(-1)
CG5116,FBgn0039339,3R:25483098..25485855(1)
Gnpat,FBgn0040212,3R:25485618..25490936(-1)
CG5112,FBgn0039341,3R:25491460..25493262(1)
CG33494,FBgn0053494,3R:25493481..25495161(-1)
CG5111,FBgn0039343,3R:25506275..25508279(1)
msi,FBgn0011666,3R:25516118..25608423(1)
Npl4,FBgn0039348,3R:25611013..25624662(-1)
Ssadh,FBgn0039349,3R:25624805..25626924(-1)
jigr1,FBgn0039350,3R:25637843..25651874(1)
Tnks,FBgn0027508,3R:25653091..25661286(-1)
RASSF8,FBgn0261986,3R:25661795..25665640(1)
CG4730,FBgn0039355,3R:25677072..25678682(-1)
CG5039,FBgn0039356,3R:25678683..25679529(1)
CG4743,FBgn0039357,3R:25679242..25680550(-1)
Idh3g,FBgn0039358,3R:25680845..25683780(1)
RpL27,FBgn0039359,3R:25683623..25685051(-1)
CLS,FBgn0039360,3R:25685236..25687370(-1)
LpR2,FBgn0051092,3R:25698727..25740465(-1)
LpR1,FBgn0066101,3R:25741348..25763105(-1)
CG14545,FBgn0040602,3R:25850410..25851291(-1)
CG5886,FBgn0039379,3R:25851632..25853989(1)
Tsp96F,FBgn0027865,3R:25872900..25881427(-1)
SppL,FBgn0039381,3R:25881984..25888230(1)
Lnk,FBgn0028717,3R:25888542..25893270(1)
CG5913,FBgn0039385,3R:25893495..25895026(1)
Nf1,FBgn0015269,3R:25983013..25995737(1)
E(spl)mdelta-HLH,FBgn0002734,3R:25997621..25998633(1)
E(spl)mgamma-HLH,FBgn0002735,3R:25999851..26000761(1)
E(spl)mbeta-HLH,FBgn0002733,3R:26005046..26006023(-1)
E(spl)malpha-BFM,FBgn0002732,3R:26010893..26011568(1)
Kaz-m1,FBgn0002578,3R:26014721..26016487(1)
E(spl)m2-BFM,FBgn0002592,3R:26016514..26017470(-1)
E(spl)m3-HLH,FBgn0002609,3R:26021823..26023127(1)
E(spl)m4-BFM,FBgn0002629,3R:26023821..26024579(-1)
E(spl)m5-HLH,FBgn0002631,3R:26028854..26029735(-1)
E(spl)m7-HLH,FBgn0002633,3R:26037038..26038019(1)
E(spl)m8-HLH,FBgn0000591,3R:26040240..26041008(1)
gro,FBgn0001139,3R:26041736..26049911(1)
Exo84,FBgn0266668,3R:26049731..26052257(-1)
Vps2,FBgn0039402,3R:26052821..26054128(1)
Cmpk,FBgn0028833,3R:26054237..26055438(-1)
Sld5,FBgn0039403,3R:26055657..26056547(-1)
CG14543,FBgn0039404,3R:26056630..26057350(1)
RpL34a,FBgn0039406,3R:26058420..26059267(-1)
Trmt61,FBgn0039407,3R:26059496..26061293(1)
CG6073,FBgn0039417,3R:26187018..26188807(-1)
CG12290,FBgn0039419,3R:26230248..26234700(1)
Ald1,FBgn0000064,3R:26254069..26261591(-1)
CG5447,FBgn0039427,3R:26452534..26454585(1)
CG43117,FBgn0262577,3R:26454794..26455112(1)
plum,FBgn0039431,3R:26470078..26535217(-1)
scrib,FBgn0263289,3R:26536350..26604051(1)
TwdlM,FBgn0039434,3R:26619118..26620224(1)
TwdlN,FBgn0039441,3R:26631869..26632956(1)
TwdlD,FBgn0039444,3R:26640025..26641054(1)
CG6425,FBgn0039449,3R:26715165..26717389(-1)
Yif1,FBgn0288631,3R:26717871..26719806(1)
CG6420,FBgn0039451,3R:26719847..26725216(-1)
Tl,FBgn0262473,3R:26799041..26842403(1)
Lerp,FBgn0051072,3R:26842462..26863130(-1)
IntS12,FBgn0039459,3R:26863376..26864559(1)
ball,FBgn0027889,3R:26864605..26866807(-1)
His2Av,FBgn0001197,3R:26866929..26869220(1)
Rb97D,FBgn0004903,3R:26872129..26875742(-1)
CG5500,FBgn0039461,3R:26876630..26880459(1)
T48,FBgn0004359,3R:26881734..26910997(1)
Ets97D,FBgn0004510,3R:26910775..26912886(-1)
CG14252,FBgn0039462,3R:26945534..26947248(1)
CG6330,FBgn0039464,3R:26949692..26958491(-1)
Tsp97E,FBgn0039465,3R:26961064..26964817(-1)
CG5521,FBgn0039466,3R:26966930..26977878(1)
CG31075,FBgn0051075,3R:26985624..26988517(-1)
spz,FBgn0003495,3R:27064990..27070070(-1)
gb,FBgn0039487,3R:27108467..27112270(-1)
CG5815,FBgn0027574,3R:27112566..27115126(1)
CG6066,FBgn0039488,3R:27115152..27116707(-1)
CG5880,FBgn0039489,3R:27116745..27118532(1)
CG6051,FBgn0039492,3R:27124759..27151069(-1)
Men-b,FBgn0029155,3R:27151662..27157603(1)
CG34293,FBgn0085322,3R:27164708..27165575(-1)
spn-D,FBgn0003482,3R:27165716..27167122(1)
CG42813,FBgn0261995,3R:27227070..27228561(-1)
CG31064,FBgn0051064,3R:27229505..27239085(-1)
PolA2,FBgn0005696,3R:27239163..27241228(1)
CG18766,FBgn0042111,3R:27242335..27245249(-1)
TfIIA-L,FBgn0011289,3R:27251112..27256463(1)
pll,FBgn0010441,3R:27251131..27253182(-1)
woc,FBgn0010328,3R:27256595..27264055(-1)
l(3)mbt,FBgn0002441,3R:27266326..27273273(-1)
CG5934,FBgn0039505,3R:27273705..27274565(1)
CG5938,FBgn0046247,3R:27274794..27277418(1)
mrt,FBgn0039507,3R:27277249..27282661(-1)
CG3368,FBgn0039508,3R:27283780..27287448(1)
bigmax,FBgn0039509,3R:27287366..27288526(-1)
Hmu,FBgn0015737,3R:27288769..27291592(1)
side,FBgn0016061,3R:27375088..27437482(-1)
Klp98A,FBgn0004387,3R:27547775..27559145(-1)
wdb,FBgn0027492,3R:27561675..27582241(-1)
pins,FBgn0040080,3R:27582840..27586376(1)
dsd,FBgn0039528,3R:27597563..27607396(-1)
CG5611,FBgn0039531,3R:27634625..27636060(-1)
Mtl,FBgn0039532,3R:27636412..27639871(1)
Mlc1,FBgn0002772,3R:27657078..27660177(-1)
Hsdl2,FBgn0039537,3R:27677522..27679013(1)
CG12883,FBgn0039538,3R:27679291..27680336(1)
Sce,FBgn0003330,3R:27680431..27682029(-1)
HSPBAP1,FBgn0263025,3R:27695235..27696531(1)
ALiX,FBgn0086346,3R:27696466..27700110(-1)
btz,FBgn0045862,3R:27700361..27703445(1)
CROT,FBgn0039543,3R:27703379..27706751(-1)
CG12877,FBgn0039544,3R:27707100..27710857(1)
CG5003,FBgn0039554,3R:27913777..27916516(-1)
mRpS22,FBgn0039555,3R:27916908..27918248(1)
Boh1,FBgn0053213,3R:27918182..27919460(-1)
CG12259,FBgn0039557,3R:27919844..27921089(-1)
BCAS2,FBgn0039558,3R:27921283..27922356(-1)
RpL4,FBgn0003279,3R:27922821..27924888(1)
mino,FBgn0027579,3R:27925191..27933077(1)
nenya,FBgn0051053,3R:27927357..27928174(-1)
NSD,FBgn0039559,3R:27932982..27937853(-1)
BOD1,FBgn0039560,3R:27938245..27942778(1)
mfrn,FBgn0039561,3R:27942796..27948021(-1)
Gp93,FBgn0039562,3R:27948711..27952151(1)
CG4951,FBgn0039563,3R:27952051..27954112(-1)
CG4849,FBgn0039566,3R:27963415..27966958(1)
larp,FBgn0261618,3R:28318162..28336440(-1)
Gfat2,FBgn0039580,3R:28337019..28339765(-1)
Moca-cyp,FBgn0039581,3R:28340334..28345169(1)
CG1894,FBgn0039585,3R:28484557..28486062(1)
Ppn,FBgn0003137,3R:28520665..28540324(-1)
mIF2,FBgn0039588,3R:28542274..28544817(-1)
fkh,FBgn0000659,3R:28580976..28585264(-1)
lncRNA:CR43126,FBgn0262741,3R:28586048..28591386(1)
Noa36,FBgn0026400,3R:28598059..28599288(-1)
Hrb98DE,FBgn0001215,3R:28599834..28605777(1)
CG9986,FBgn0039589,3R:28606079..28608372(1)
CG10011,FBgn0039590,3R:28607939..28635099(-1)
htt,FBgn0027655,3R:28696242..28734816(1)
wdn,FBgn0005642,3R:28807983..28811337(-1)
Prp39,FBgn0039600,3R:28812102..28817354(1)
CG1523,FBgn0039601,3R:28817342..28819668(-1)
CG1647,FBgn0039602,3R:28820221..28824508(1)
WASp,FBgn0024273,3R:28824506..28832024(-1)
Apc,FBgn0015589,3R:28832301..28844748(-1)
spg,FBgn0264324,3R:28845270..28870439(1)
Inx3,FBgn0265274,3R:28853606..28859497(-1)
Doa,FBgn0265998,3R:28888073..28922772(1)
CG1951,FBgn0039623,3R:29027236..29030938(1)
beta4GalNAcTB,FBgn0039625,3R:29032660..29034008(-1)
Cpsf100,FBgn0027873,3R:29034573..29037062(1)
Slu7,FBgn0039626,3R:29037058..29039071(-1)
Pkc98E,FBgn0003093,3R:29039156..29049148(1)
CG11837,FBgn0039627,3R:29049493..29050721(1)
asRNA:CR46107,FBgn0267776,3R:29054343..29055703(-1)
Sirt7,FBgn0039631,3R:29055927..29059204(1)
Cul5,FBgn0288875,3R:29059272..29062975(-1)
Bicra,FBgn0039633,3R:29063040..29108948(1)
lncRNA:CR45030,FBgn0266390,3R:29095368..29096487(1)
alpha-Man-Ib,FBgn0039634,3R:29109053..29112822(-1)
Pdhb,FBgn0039635,3R:29113071..29116197(1)
Atg14,FBgn0039636,3R:29116391..29118390(1)
yem,FBgn0005596,3R:29118330..29122879(-1)
Ctl2,FBgn0039637,3R:29123370..29128247(1)
dgt6,FBgn0039638,3R:29128584..29130972(-1)
Vha100-1,FBgn0028671,3R:29131193..29137980(1)
Alg13,FBgn0039639,3R:29137970..29138573(-1)
superdeath,FBgn0039640,3R:29138662..29145787(1)
CG14511,FBgn0039641,3R:29145678..29146893(-1)
CG11882,FBgn0039642,3R:29147016..29148172(-1)
Pglym78,FBgn0014869,3R:29148248..29149901(1)
eIF2D,FBgn0041588,3R:29149896..29151794(-1)
Slbp,FBgn0041186,3R:29152074..29153266(-1)
Rpn2,FBgn0028692,3R:29153524..29157255(1)
rdog,FBgn0039644,3R:29158122..29164966(1)
CG11899,FBgn0014427,3R:29200454..29201770(1)
Mesh1,FBgn0039650,3R:29201756..29202525(-1)
lncRNA:CR31044,FBgn0051044,3R:29214562..29219667(1)
eEF1gamma,FBgn0029176,3R:29220172..29222109(1)
Cisd2,FBgn0062442,3R:29222217..29223428(-1)
Brd8,FBgn0039654,3R:29223485..29226276(1)
Usp1,FBgn0028476,3R:29229161..29235302(1)
SP1029,FBgn0263236,3R:29244961..29250451(-1)
stg,FBgn0003525,3R:29251826..29255800(-1)
Cnx99A,FBgn0015622,3R:29315254..29319644(-1)
Ptp99A,FBgn0004369,3R:29377646..29487131(1)
CG2321,FBgn0039663,3R:29484783..29489265(-1)
CG2006,FBgn0039664,3R:29489468..29491383(1)
Spase12,FBgn0040623,3R:29490544..29491150(-1)
CG2310,FBgn0039665,3R:29491524..29493518(-1)
Trc8,FBgn0039668,3R:29499025..29503797(-1)
Dr,FBgn0000492,3R:29556386..29565244(1)
alph,FBgn0086361,3R:29591831..29617157(1)
CG1907,FBgn0039674,3R:29619065..29620758(1)
Obp99a,FBgn0039678,3R:29671657..29672334(1)
Bub3,FBgn0025457,3R:29674007..29675421(-1)
Cap-D2,FBgn0039680,3R:29675651..29680257(1)
Pcd,FBgn0024841,3R:29723163..29724226(1)
Naa40,FBgn0039687,3R:29724159..29724950(-1)
CG18731,FBgn0042213,3R:29725027..29725690(1)
Kul,FBgn0039688,3R:29725830..29735360(1)
CG7601,FBgn0027583,3R:29735269..29736745(-1)
CIA30,FBgn0039689,3R:29736965..29738070(1)
Gnpnat,FBgn0039690,3R:29738275..29741952(1)
Wdr24,FBgn0027518,3R:29741972..29745092(-1)
